15mm Copper Pipe,,20mm Copper Pipe,,25mm Copper Pipe,,32mm Copper Pipe,,40mm Copper Pipe,,50mm Copper Pipe,,65mm Copper Pipe,,80mm Copper Pipe,,100mm Copper Pipe,,125mm Copper Pipe,,150mm Copper Pipe,
kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h
0.0119,0.533,0.0119,1.72,0.0119,3.838,0.0119,7.734,0.0119,13.291,0.0119,32.633,0.0119,60.418,0.0119,97.45,,,,,,
0.012,0.536,0.012,1.727,0.012,3.846,0.012,7.775,0.012,13.36,0.012,32.736,0.012,60.663,0.012,98.003,,,,,,
0.0121,0.539,0.0121,1.733,0.0121,3.855,0.0121,7.816,0.0121,13.43,0.0121,32.838,0.0121,60.909,0.0121,98.555,,,,,,
0.0122,0.543,0.0122,1.74,0.0122,3.863,0.0122,7.857,0.0122,13.499,0.0122,32.94,0.0122,61.154,0.0122,99.107,,,,,,
0.0123,0.546,0.0123,1.746,0.0123,3.871,0.0123,7.897,0.0123,13.569,0.0123,33.043,0.0123,61.4,0.0123,99.66,,,,,,
0.0124,0.549,0.0124,1.753,0.0124,3.879,0.0124,7.938,0.0124,13.639,0.0124,33.145,0.0124,61.645,0.0124,100.212,,,,,,
0.0125,0.552,0.0125,1.76,0.0125,3.887,0.0125,7.979,0.0125,13.708,0.0125,33.247,0.0125,61.891,0.0125,100.765,,,,,,
0.0126,0.555,0.0126,1.765,0.0126,3.906,0.0126,8.011,0.0126,13.763,0.0126,33.356,0.0126,62.152,0.0126,101.14,,,,,,
0.0127,0.557,0.0127,1.77,0.0127,3.924,0.0127,8.043,0.0127,13.817,0.0127,33.465,0.0127,62.414,0.0127,101.515,,,,,,
0.0128,0.559,0.0128,1.776,0.0128,3.942,0.0128,8.075,0.0128,13.872,0.0128,33.575,0.0128,62.675,0.0128,101.89,,,,,,
0.0129,0.562,0.0129,1.781,0.0129,3.96,0.0129,8.107,0.0129,13.926,0.0129,33.684,0.0129,62.937,0.0129,102.265,,,,,,
0.013,0.564,0.013,1.787,0.013,3.978,0.013,8.138,0.013,13.981,0.013,33.793,0.013,63.198,0.013,102.64,,,,,,
0.0131,0.566,0.0131,1.792,0.0131,3.996,0.0131,8.17,0.0131,14.035,0.0131,33.902,0.0131,63.46,0.0131,103.015,,,,,,
0.0132,0.568,0.0132,1.798,0.0132,4.015,0.0132,8.202,0.0132,14.09,0.0132,34.011,0.0132,63.721,0.0132,103.39,,,,,,
0.0133,0.571,0.0133,1.803,0.0133,4.033,0.0133,8.234,0.0133,14.145,0.0133,34.12,0.0133,63.982,0.0133,103.765,,,,,,
0.0134,0.573,0.0134,1.809,0.0134,4.051,0.0134,8.266,0.0134,14.199,0.0134,34.229,0.0134,64.244,0.0134,104.14,,,,,,
0.0135,0.575,0.0135,1.814,0.0135,4.069,0.0135,8.298,0.0135,14.254,0.0135,34.338,0.0135,64.505,0.0135,104.516,,,,,,
0.0136,0.577,0.0136,1.82,0.0136,4.087,0.0136,8.329,0.0136,14.308,0.0136,34.448,0.0136,64.767,0.0136,104.891,,,,,,
0.0137,0.58,0.0137,1.825,0.0137,4.106,0.0137,8.361,0.0137,14.363,0.0137,34.557,0.0137,65.028,0.0137,105.266,,,,,,
0.0138,0.582,0.0138,1.83,0.0138,4.124,0.0138,8.393,0.0138,14.417,0.0138,34.666,0.0138,65.29,0.0138,105.641,,,,,,
0.0139,0.584,0.0139,1.836,0.0139,4.142,0.0139,8.425,0.0139,14.472,0.0139,34.775,0.0139,65.551,0.0139,106.016,,,,,,
0.014,0.587,0.014,1.841,0.014,4.16,0.014,8.457,0.014,14.526,0.014,34.884,0.014,65.812,0.014,106.391,,,,,,
0.0141,0.589,0.0141,1.847,0.0141,4.178,0.0141,8.489,0.0141,14.581,0.0141,34.993,0.0141,66.074,0.0141,106.766,,,,,,
0.0142,0.591,0.0142,1.852,0.0142,4.197,0.0142,8.52,0.0142,14.636,0.0142,35.102,0.0142,66.335,0.0142,107.141,,,,,,
0.0143,0.593,0.0143,1.858,0.0143,4.215,0.0143,8.552,0.0143,14.69,0.0143,35.211,0.0143,66.597,0.0143,107.516,,,,,,
0.0144,0.596,0.0144,1.863,0.0144,4.233,0.0144,8.584,0.0144,14.745,0.0144,35.32,0.0144,66.858,0.0144,107.891,,,,,,
0.0145,0.598,0.0145,1.869,0.0145,4.251,0.0145,8.616,0.0145,14.799,0.0145,35.43,0.0145,67.12,0.0145,108.267,,,,,,
