6mm Copper Pipe,,8mm Copper Pipe,,10mm Copper Pipe,,15mm Copper Pipe,,20mm Copper Pipe,,25mm Copper Pipe,,32mm Copper Pipe,,40mm Copper Pipe,,50mm Copper Pipe,,65mm Copper Pipe,,80mm Copper Pipe,,100mm Copper Pipe,
kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h
0.0107,0,0.0107,0,0.0107,0.253,0.0107,0.622,0.0107,2.189,0.0107,4.849,0.0107,9.442,0.0107,16.012,0.0107,37.237,0.0107,67.722,0.0107,109.46,,
0.0108,0,0.0108,0,0.0108,0.254,0.0108,0.626,0.0108,2.21,0.0108,4.869,0.0108,9.534,0.0108,16.131,0.0108,37.441,0.0108,68.336,0.0108,110.483,,
0.0109,0,0.0109,0,0.0109,0.255,0.0109,0.63,0.0109,2.23,0.0109,4.89,0.0109,9.626,0.0109,16.249,0.0109,37.646,0.0109,68.95,0.0109,111.506,,
0.011,0,0.011,0.166,0.011,0.256,0.011,0.634,0.011,2.251,0.011,4.91,0.011,9.718,0.011,16.368,0.011,37.851,0.011,69.563,0.011,112.529,,
0.0111,0,0.0111,0,0.0111,0.257,0.0111,0.637,0.0111,2.262,0.0111,4.932,0.0111,9.756,0.0111,16.45,0.0111,38.011,0.0111,69.85,0.0111,112.967,,
0.0112,0,0.0112,0,0.0112,0.258,0.0112,0.64,0.0112,2.274,0.0112,4.954,0.0112,9.794,0.0112,16.532,0.0112,38.172,0.0112,70.136,0.0112,113.406,,
0.0113,0,0.0113,0,0.0113,0.259,0.0113,0.642,0.0113,2.286,0.0113,4.976,0.0113,9.832,0.0113,16.613,0.0113,38.333,0.0113,70.423,0.0113,113.844,,
0.0114,0,0.0114,0,0.0114,0.26,0.0114,0.645,0.0114,2.297,0.0114,4.998,0.0114,9.87,0.0114,16.695,0.0114,38.494,0.0114,70.709,0.0114,114.283,,
0.0115,0,0.0115,0,0.0115,0.261,0.0115,0.647,0.0115,2.309,0.0115,5.02,0.0115,9.908,0.0115,16.777,0.0115,38.654,0.0115,70.996,0.0115,114.721,,
0.0116,0,0.0116,0,0.0116,0.262,0.0116,0.65,0.0116,2.321,0.0116,5.042,0.0116,9.946,0.0116,16.859,0.0116,38.815,0.0116,71.282,0.0116,115.16,,
0.0117,0,0.0117,0,0.0117,0.263,0.0117,0.653,0.0117,2.332,0.0117,5.064,0.0117,9.984,0.0117,16.941,0.0117,38.976,0.0117,71.568,0.0117,115.598,,
0.0118,0,0.0118,0,0.0118,0.264,0.0118,0.655,0.0118,2.344,0.0118,5.086,0.0118,10.022,0.0118,17.023,0.0118,39.137,0.0118,71.855,0.0118,116.036,,
0.0119,0,0.0119,0,0.0119,0.265,0.0119,0.658,0.0119,2.356,0.0119,5.108,0.0119,10.06,0.0119,17.104,0.0119,39.297,0.0119,72.141,0.0119,116.475,,
0.012,0,0.012,0.004,0.012,0.266,0.012,0.661,0.012,2.367,0.012,5.13,0.012,10.098,0.012,17.186,0.012,39.458,0.012,72.428,0.012,116.913,,
0.0121,0,0.0121,0.008,0.0121,0.267,0.0121,0.663,0.0121,2.379,0.0121,5.151,0.0121,10.136,0.0121,17.268,0.0121,39.619,0.0121,72.714,0.0121,117.352,,
0.0122,0,0.0122,0.012,0.0122,0.268,0.0122,0.666,0.0122,2.391,0.0122,5.173,0.0122,10.174,0.0122,17.35,0.0122,39.78,0.0122,73.001,0.0122,117.79,,
0.0123,0,0.0123,0.015,0.0123,0.269,0.0123,0.668,0.0123,2.403,0.0123,5.195,0.0123,10.212,0.0123,17.432,0.0123,39.94,0.0123,73.287,0.0123,118.228,,
0.0124,0,0.0124,0.019,0.0124,0.27,0.0124,0.671,0.0124,2.414,0.0124,5.217,0.0124,10.25,0.0124,17.514,0.0124,40.101,0.0124,73.573,0.0124,118.667,,
0.0125,0,0.0125,0.023,0.0125,0.271,0.0125,0.674,0.0125,2.426,0.0125,5.239,0.0125,10.288,0.0125,17.595,0.0125,40.262,0.0125,73.86,0.0125,119.105,,
0.0126,0,0.0126,0.027,0.0126,0.272,0.0126,0.676,0.0126,2.438,0.0126,5.261,0.0126,10.326,0.0126,17.677,0.0126,40.423,0.0126,74.146,0.0126,119.544,,
0.0127,0,0.0127,0.031,0.0127,0.273,0.0127,0.679,0.0127,2.449,0.0127,5.283,0.0127,10.364,0.0127,17.759,0.0127,40.584,0.0127,74.433,0.0127,119.982,,
